t (s),V (mV)
300.822,11.4078
301.823,11.3997
302.823,11.3911
303.822,11.3832
304.822,11.3743
305.823,11.3668
306.823,11.3581
307.822,11.3489
308.823,11.3409
309.822,11.3326
310.823,11.3238
311.823,11.3148
312.822,11.3074
313.823,11.2999
314.823,11.2909
315.822,11.282
316.822,11.2731
317.823,11.2644
318.823,11.2565
319.823,11.2481
320.822,11.2401
321.823,11.2323
322.822,11.2238
323.822,11.2159
324.823,11.2073
325.822,11.1986
326.823,11.1912
327.822,11.1843
328.822,11.1765
329.823,11.1675
330.822,11.1612
331.822,11.1539
332.822,11.1455
333.822,11.1378
334.823,11.1293
335.822,11.1216
336.823,11.1136
337.822,11.1059
338.823,11.0974
339.823,11.0903
340.822,11.0827
341.823,11.0736
342.823,11.0662
343.822,11.059
344.822,11.0514
345.823,11.0427
346.822,11.0363
347.823,11.0271
348.822,11.0196
349.822,11.0114
350.823,11.0036
351.823,10.9968
352.822,10.9879
353.823,10.9801
354.822,10.9718
355.822,10.9638
356.823,10.9558
357.822,10.9479
358.822,10.9407
359.823,10.9323
360.822,10.9241
361.823,10.9172
362.822,10.9087
363.822,10.9017
364.823,10.8934
365.822,10.8853
366.822,10.8777
367.823,10.8691
368.823,10.8613
369.823,10.8536
370.822,10.8458
371.823,10.8379
372.822,10.8294
373.822,10.8216
374.823,10.8129
375.822,10.8055
376.823,10.7971
377.823,10.7895
378.823,10.7811
379.823,10.7736
380.823,10.7658
381.823,10.7577
382.822,10.75
383.822,10.7426
384.823,10.7344
385.822,10.7267
386.823,10.7195
387.823,10.7115
388.822,10.7024
389.823,10.695
390.823,10.687
391.822,10.6792
392.822,10.671
393.822,10.6604
394.823,10.6555
395.823,10.6484
396.823,10.6396
397.822,10.6326
398.823,10.6255
399.822,10.6178
400.822,10.6102
401.822,10.6027
402.821,10.5963
403.821,10.5883
404.822,10.5814
405.822,10.5738
406.821,10.5669
407.821,10.5602
408.822,10.5517
409.821,10.5447
410.821,10.5372
411.822,10.5295
412.822,10.5234
413.821,10.5144
414.822,10.5068
415.821,10.4994
416.821,10.4931
417.822,10.4857
418.821,10.4772
419.821,10.4706
420.821,10.4623
421.822,10.4556
422.822,10.4484
423.821,10.4403
424.821,10.4328
425.822,10.4259
426.821,10.4188
427.821,10.4109
428.822,10.4038
429.821,10.3962
430.821,10.3893
431.821,10.3814
432.822,10.3746
433.821,10.3666
434.821,10.3588
435.821,10.3521
436.822,10.3449
437.822,10.3378
438.821,10.3299
439.822,10.3226
440.821,10.316
441.821,10.3083
442.822,10.3007
443.821,10.2938
444.821,10.2853
445.822,10.2791
446.821,10.2723
447.821,10.2646
448.822,10.2571
449.822,10.2504
450.821,10.2423
451.821,10.2354
452.821,10.2288
453.822,10.2224
454.821,10.2144
455.821,10.2079
456.822,10.2002
457.821,10.1936
458.821,10.1861
459.822,10.1798
460.822,10.1722
461.821,10.1647
462.821,10.1587
463.822,10.1512
464.822,10.1438
465.822,10.1375
466.821,10.13
467.821,10.1233
468.821,10.1163
469.822,10.1093
470.822,10.1025
471.822,10.0951
472.822,10.0872
473.822,10.0802
474.822,10.0738
475.822,10.0664
476.822,10.0586
477.822,10.0514
478.822,10.0451
479.822,10.0386
480.821,10.0333
481.821,10.0226
482.821,10.0174
483.821,10.01
484.821,10.0021
485.822,9.9953
486.823,9.9865
487.822,9.9823
488.822,9.9721
489.822,9.9658
490.822,9.9596
491.823,9.9507
492.822,9.9463
493.823,9.9382
494.823,9.9309
495.823,9.9244
496.823,9.9166
497.823,9.9103
498.822,9.9035
499.822,9.8962
500.823,9.8897
501.823,9.8822
502.823,9.8756
503.823,9.8683
504.823,9.862
505.823,9.8548
506.823,9.8483
507.823,9.8399
508.823,9.8344
509.822,9.8273
510.822,9.8205
511.822,9.813
512.822,9.8068
513.822,9.8012
514.822,9.7936
515.822,9.7865
516.822,9.78
517.822,9.7733
518.822,9.7668
519.823,9.7595
520.822,9.7536
521.823,9.747
522.822,9.7394
523.822,9.7329
524.822,9.7256
525.822,9.7174
526.822,9.712
527.822,9.7053
528.822,9.6977
529.822,9.6914
530.823,9.6845
531.823,9.6778
532.823,9.6719
533.823,9.6644
534.823,9.6572
535.822,9.6513
536.822,9.6447
537.822,9.6379
538.822,9.63
539.822,9.6242
540.823,9.6171
541.823,9.6101
542.822,9.6017
543.822,9.5976
