t (s),V (mV)
0,14.4116
0.972,14.4044
1.91,14.3953
2.85,14.3867
3.822,14.3756
4.822,14.3643
5.822,14.3544
6.823,14.3445
7.822,14.3315
8.822,14.3244
9.823,14.3086
10.823,14.301
11.823,14.289
12.822,14.2776
13.822,14.2664
14.822,14.2556
15.823,14.2443
16.823,14.2326
17.823,14.2212
18.823,14.2111
19.823,14.1992
20.823,14.1869
21.822,14.1744
22.822,14.1638
23.822,14.1516
24.823,14.1407
25.823,14.1292
26.823,14.1168
27.823,14.1052
28.822,14.0931
29.822,14.0815
30.822,14.0694
31.822,14.0581
32.823,14.0449
33.822,14.0344
34.822,14.0204
35.822,14.0107
36.823,13.9988
37.823,13.9878
38.822,13.9748
39.822,13.9644
40.822,13.9518
41.823,13.9404
42.823,13.9288
43.823,13.918
44.823,13.905
45.822,13.8957
46.822,13.8838
47.822,13.8729
48.822,13.8604
49.823,13.8501
50.823,13.8385
51.822,13.8277
52.822,13.8171
53.822,13.8049
54.823,13.7944
55.823,13.7823
56.822,13.772
57.822,13.7597
58.822,13.7489
59.823,13.737
60.823,13.7262
61.822,13.7158
62.822,13.705
63.823,13.693
64.823,13.6825
65.822,13.672
66.822,13.6606
67.823,13.649
68.823,13.638
69.822,13.628
70.822,13.616
71.823,13.6057
72.822,13.5944
73.823,13.5835
74.823,13.5719
75.823,13.5611
76.822,13.5508
77.822,13.5386
78.822,13.5281
79.823,13.5168
80.822,13.5064
81.822,13.4942
82.822,13.4843
83.823,13.4725
84.822,13.4624
85.822,13.4511
86.823,13.4407
87.822,13.4305
88.822,13.4196
89.823,13.408
90.823,13.3973
91.822,13.3873
92.822,13.3762
93.823,13.3656
94.823,13.3548
95.822,13.3444
96.823,13.3337
97.823,13.3229
98.822,13.3119
99.823,13.3022
100.823,13.2915
101.822,13.2809
102.822,13.2712
103.823,13.2601
104.822,13.2501
105.823,13.2396
106.823,13.2286
107.822,13.2187
108.822,13.2082
109.823,13.1977
110.822,13.1876
111.823,13.1763
112.823,13.1659
113.823,13.1568
114.823,13.1453
115.822,13.1351
116.823,13.1252
117.822,13.1148
118.823,13.1042
119.822,13.0937
120.822,13.0835
121.823,13.0729
122.823,13.0631
123.822,13.0527
124.823,13.042
125.823,13.0319
126.822,13.0213
127.823,13.0114
128.822,13.0011
129.822,12.9911
130.823,12.9806
131.822,12.9702
132.822,12.9604
133.823,12.9503
134.822,12.9394
135.823,12.9299
136.822,12.9198
137.823,12.909
138.823,12.8989
139.822,12.8888
140.822,12.8789
141.823,12.869
142.822,12.858
143.822,12.848
144.823,12.8382
145.822,12.8289
146.823,12.8202
147.822,12.8083
148.822,12.7983
149.823,12.7877
150.822,12.7786
151.822,12.769
152.823,12.7589
153.822,12.7484
154.822,12.7386
155.823,12.7289
156.822,12.719
157.823,12.7091
158.822,12.6999
159.823,12.6891
160.822,12.68
161.822,12.6698
162.823,12.6593
163.823,12.6489
164.823,12.6401
165.823,12.6296
166.822,12.6208
167.823,12.6101
168.822,12.6009
169.823,12.5904
170.822,12.5807
171.823,12.5713
172.822,12.5618
173.822,12.5515
174.823,12.5415
175.822,12.5324
176.822,12.5224
177.823,12.5124
178.822,12.5038
179.823,12.4934
180.822,12.4841
181.823,12.4738
182.822,12.4645
183.823,12.4547
184.823,12.4441
185.823,12.4353
186.823,12.4245
187.823,12.416
188.823,12.4063
189.822,12.3967
190.823,12.3865
191.822,12.3777
192.823,12.3688
193.822,12.3593
194.823,12.3496
195.823,12.3395
196.822,12.3309
197.823,12.32
198.823,12.3111
199.822,12.3011
200.823,12.2915
201.822,12.2823
202.822,12.2732
203.823,12.2635
204.822,12.2533
205.823,12.2433
206.823,12.2347
207.822,12.2248
208.823,12.2165
209.822,12.2069
210.823,12.1979
211.822,12.1882
212.823,12.1797
213.822,12.1702
214.822,12.1611
215.823,12.1525
216.822,12.1435
217.823,12.1348
218.823,12.1263
219.823,12.1167
220.822,12.1069
221.823,12.0984
222.822,12.0893
223.823,12.08
224.822,12.0716
225.823,12.0632
226.822,12.0532
227.822,12.0449
228.823,12.0364
229.822,12.0271
230.823,12.0186
231.822,12.0096
232.823,12.001
233.823,11.9895
234.823,11.9836
235.822,11.9745
236.823,11.9664
237.822,11.9571
238.823,11.9493
239.823,11.9389
240.822,11.9302
241.823,11.9265
242.823,11.9127
243.823,11.904
244.822,11.895
245.823,11.8858
246.822,11.8785
247.823,11.8682
248.823,11.8596
249.823,11.8497
250.822,11.841
251.822,11.8315
252.823,11.8228
253.823,11.8141
254.822,11.8053
255.823,11.7965
256.823,11.7877
257.822,11.7791
258.822,11.77
259.823,11.7618
260.822,11.7523
261.823,11.7434
262.822,11.736
263.822,11.727
264.822,11.7185
265.823,11.7094
266.822,11.7005
267.823,11.6924
268.822,11.6835
269.822,11.6741
270.823,11.666
271.822,11.6577
272.822,11.6483
273.822,11.64
274.822,11.6318
275.823,11.6231
276.822,11.6143
277.823,11.6056
278.822,11.5973
279.823,11.5885
280.822,11.5797
281.822,11.5715
282.823,11.5632
283.822,11.5537
284.823,11.5458
285.822,11.5361
286.822,11.5276
287.822,11.5198
288.823,11.5106
289.822,11.5018
290.822,11.4932
291.822,11.4844
292.823,11.4759
293.822,11.4675
294.822,11.4583
295.822,11.4501
296.822,11.4412
297.823,11.4329
298.822,11.4247
299.823,11.4175
