t (s),V (mV)
0,15.8082
0.974,15.8
1.912,15.7912
2.851,15.7817
3.824,15.7717
4.819,15.7594
5.819,15.7467
6.82,15.7366
7.82,15.7268
8.819,15.7149
9.819,15.7037
10.819,15.6949
11.82,15.6838
12.82,15.6742
13.819,15.6642
14.819,15.6514
15.819,15.6416
16.819,15.6318
17.82,15.6223
18.82,15.6117
19.819,15.6008
20.819,15.5907
21.819,15.5799
22.819,15.5716
23.82,15.5593
24.82,15.5489
25.819,15.5396
26.819,15.5295
27.819,15.5194
28.82,15.5088
29.82,15.5004
30.82,15.4888
31.819,15.4783
32.819,15.4705
33.819,15.4593
34.82,15.4492
35.82,15.4373
36.819,15.4285
37.819,15.4185
38.82,15.4075
39.82,15.3979
40.819,15.3878
41.819,15.378
42.819,15.3676
43.819,15.3579
44.819,15.3477
45.82,15.338
46.82,15.3273
47.819,15.3182
48.819,15.3082
49.819,15.2986
50.82,15.2888
51.82,15.2783
52.819,15.2691
53.819,15.2588
54.819,15.2501
55.819,15.2403
56.82,15.2307
57.82,15.2198
58.82,15.2109
59.819,15.2007
60.82,15.1906
61.82,15.1806
62.819,15.1717
63.819,15.1615
64.82,15.152
65.82,15.1421
66.82,15.1321
67.819,15.1226
68.819,15.1131
69.819,15.1041
70.82,15.0942
71.82,15.0845
72.819,15.0735
73.82,15.0645
74.819,15.0558
75.819,15.0462
76.82,15.0362
77.82,15.0277
78.819,15.0169
79.819,15.0079
80.819,14.9978
81.82,14.9882
82.819,14.9789
83.819,14.9701
84.82,14.9603
85.819,14.9507
86.819,14.9416
87.819,14.9311
88.82,14.9212
89.819,14.9124
90.819,14.9023
91.82,14.8936
92.82,14.8836
93.819,14.8745
94.819,14.8652
95.82,14.8556
96.82,14.8457
97.819,14.8371
98.82,14.8271
99.82,14.8182
100.819,14.8087
101.82,14.7994
102.82,14.7906
103.819,14.781
104.82,14.7721
105.819,14.7624
106.82,14.7531
107.82,14.7456
108.819,14.7373
109.82,14.727
110.82,14.7189
111.819,14.7098
112.82,14.7008
