t (s),V (mV)
312.925,13.2689
313.925,13.2637
314.925,13.2584
315.925,13.2527
316.925,13.2479
317.924,13.2426
318.924,13.2373
319.924,13.232
320.924,13.2267
321.924,13.2213
322.924,13.2152
323.925,13.2106
324.925,13.2055
325.925,13.2001
326.925,13.1956
327.924,13.1908
328.924,13.1843
329.925,13.1791
330.925,13.1737
331.925,13.1687
332.925,13.1638
333.925,13.1583
334.925,13.1537
335.925,13.1481
336.925,13.1432
337.925,13.1373
338.925,13.1321
339.925,13.1266
340.925,13.122
341.925,13.1169
342.925,13.1113
343.925,13.1056
344.925,13.1007
345.925,13.0955
346.925,13.0908
347.925,13.0852
348.924,13.0804
349.925,13.0757
350.925,13.0708
351.925,13.0657
352.924,13.061
353.924,13.0556
354.925,13.0522
355.925,13.0472
356.924,13.0412
357.924,13.0377
358.925,13.0315
359.925,13.0269
360.925,13.0229
361.925,13.0173
362.925,13.0132
363.924,13.0068
364.924,13.0028
365.924,12.9979
366.924,12.9927
367.925,12.9883
368.925,12.9837
369.925,12.9783
370.925,12.9734
371.925,12.9676
372.925,12.963
373.925,12.9582
374.925,12.9529
375.925,12.9476
376.924,12.9434
377.924,12.9384
378.924,12.9338
379.924,12.9288
380.924,12.9239
381.925,12.9186
382.925,12.9129
383.924,12.9087
384.924,12.9033
385.924,12.8986
386.925,12.8937
387.925,12.8881
388.924,12.883
389.924,12.8782
390.924,12.8728
391.924,12.8681
392.924,12.8636
393.924,12.8597
394.924,12.8537
395.925,12.849
396.925,12.8441
397.924,12.8399
398.925,12.834
399.925,12.8291
400.925,12.8251
401.924,12.8194
402.924,12.8148
403.924,12.8098
404.925,12.8054
405.925,12.8008
406.925,12.7955
407.924,12.791
408.924,12.7865
409.924,12.781
410.924,12.7765
411.925,12.7715
412.925,12.767
413.925,12.7622
414.925,12.757
415.925,12.7525
416.924,12.7478
417.925,12.7436
418.925,12.7381
419.925,12.7331
420.924,12.7292
421.924,12.7243
422.925,12.7197
423.925,12.7144
424.924,12.7106
425.924,12.7054
426.924,12.7014
427.924,12.6959
428.924,12.6925
429.924,12.6876
430.925,12.6826
431.925,12.6776
432.925,12.6731
433.925,12.6682
434.925,12.6632
435.925,12.659
436.924,12.6529
437.924,12.6485
438.925,12.6435
439.925,12.6394
440.924,12.6336
441.925,12.6288
442.925,12.6242
443.924,12.6192
444.925,12.6141
445.925,12.6098
446.925,12.6052
447.924,12.6001
448.924,12.5949
449.924,12.5908
450.925,12.5858
451.925,12.5818
452.925,12.5769
453.924,12.5714
454.924,12.5672
455.924,12.5625
456.924,12.5575
457.925,12.5528
458.925,12.5492
459.924,12.544
460.924,12.539
461.924,12.5351
462.925,12.5305
463.925,12.5262
464.924,12.5198
465.924,12.5164
466.925,12.5117
467.925,12.5078
468.925,12.5021
469.925,12.4988
470.924,12.4937
471.925,12.4898
472.925,12.4848
473.925,12.4796
474.925,12.4753
475.925,12.4725
476.924,12.4636
477.924,12.4623
478.924,12.4577
479.924,12.4528
480.925,12.448
481.924,12.4439
482.925,12.4388
483.925,12.4349
484.924,12.4321
485.925,12.4266
486.925,12.4216
487.925,12.4174
488.924,12.4131
489.925,12.4089
490.925,12.4041
491.925,12.3998
492.925,12.3954
493.924,12.3909
494.925,12.3857
495.924,12.3813
496.924,12.3762
497.925,12.3708
498.924,12.3657
499.924,12.3626
500.925,12.3559
501.924,12.3516
502.924,12.3458
503.924,12.3416
504.925,12.3381
505.925,12.3325
506.924,12.328
507.924,12.3245
508.925,12.3176
509.924,12.3152
510.924,12.3111
511.925,12.3057
512.925,12.3014
513.924,12.2956
514.924,12.2919
515.925,12.2873
516.925,12.2832
517.925,12.279
518.924,12.274
519.924,12.2693
520.924,12.265
521.924,12.2594
522.925,12.2552
523.925,12.2511
524.925,12.245
525.924,12.2413
526.925,12.2371
527.924,12.233
528.924,12.2283
529.925,12.2237
530.924,12.2182
531.925,12.2145
532.924,12.2098
533.925,12.2046
534.925,12.2
535.924,12.1947
536.924,12.1905
537.925,12.1872
538.925,12.1827
539.925,12.1781
540.925,12.1732
541.924,12.1695
542.924,12.1645
543.924,12.1596
544.925,12.1547
545.925,12.1513
546.924,12.1466
547.924,12.1424
548.925,12.1381
549.925,12.1336
550.924,12.1294
551.925,12.1249
552.925,12.12
553.924,12.1164
554.924,12.1122
555.925,12.1081
556.925,12.1026
557.925,12.0982
558.925,12.0937
559.924,12.0898
560.925,12.0851
561.925,12.0808
562.924,12.0764
563.924,12.0728
564.925,12.0671
565.924,12.0632
566.924,12.0589
567.925,12.0542
568.924,12.0508
569.924,12.0447
570.925,12.0409
571.925,12.0377
572.925,12.032
573.924,12.028
574.925,12.0227
575.925,12.0188
576.924,12.015
577.924,12.0099
578.925,12.005
579.924,12.001
580.924,11.9969
581.925,11.9918
582.924,11.9876
583.925,11.9827
584.925,11.9786
585.924,11.9757
586.925,11.9715
587.924,11.9676
588.925,11.9636
589.925,11.9588
590.925,11.9544
591.924,11.9494
592.924,11.9457
593.925,11.9417
594.925,11.9379
595.924,11.9335
596.924,11.9291
597.925,11.9246
598.924,11.9208
599.924,11.9158
600.924,11.9127
601.925,11.9082
602.925,11.9044
603.925,11.8998
604.925,11.8954
605.925,11.8911
606.924,11.8874
607.925,11.8822
608.924,11.8776
609.924,11.8734
610.925,11.8703
611.924,11.8648
612.924,11.8606
613.925,11.8565
614.925,11.8517
615.925,11.8477
616.924,11.8434
617.925,11.8391
618.924,11.8344
619.925,11.8308
620.924,11.828
621.924,11.8236
622.925,11.8191
623.924,11.8149
624.925,11.8063
625.924,11.8077
626.924,11.803
627.925,11.799
628.924,11.7943
629.925,11.7902
630.924,11.786
631.925,11.7815
632.924,11.7781
633.925,11.7732
634.925,11.7691
635.924,11.7641
636.924,11.7617
637.925,11.7579
638.925,11.753
639.924,11.7497
640.925,11.746
641.925,11.742
642.924,11.7373
643.925,11.7334
644.924,11.7292
645.925,11.7255
646.924,11.7213
647.925,11.7178
648.924,11.7135
649.925,11.7091
650.924,11.7048
651.925,11.7002
652.924,11.6965
653.925,11.6927
654.924,11.6879
655.925,11.6846
656.924,11.6798
657.925,11.676
658.924,11.6709
659.925,11.6671
660.924,11.6626
661.925,11.6587
662.924,11.6542
663.924,11.6509
664.925,11.6455
665.924,11.6427
666.925,11.6381
667.924,11.6346
668.925,11.6296
669.925,11.6255
670.924,11.6205
671.925,11.6172
672.924,11.6119
673.925,11.609
674.924,11.6048
675.925,11.5994
676.924,11.5959
677.925,11.592
678.924,11.5882
679.925,11.5835
680.924,11.5796
681.925,11.575
682.924,11.5708
683.924,11.5667
684.925,11.5623
685.924,11.5575
686.924,11.5531
687.924,11.5493
688.925,11.5456
689.925,11.5414
