t (s),V (mV)
0,14.9531
0.948,14.9443
1.92,14.9276
2.858,14.9145
3.854,14.9017
4.853,14.8874
5.853,14.8724
6.853,14.8571
7.853,14.8424
8.853,14.8269
9.853,14.8114
10.854,14.7942
11.854,14.7796
12.854,14.7654
13.853,14.7487
14.853,14.7322
15.853,14.7166
16.853,14.7003
17.853,14.6838
18.854,14.6677
19.854,14.6518
20.854,14.6361
21.854,14.6199
22.853,14.6035
23.853,14.5877
24.853,14.5694
25.853,14.5519
26.853,14.5393
27.853,14.5225
28.854,14.5063
29.853,14.4901
30.854,14.4742
31.854,14.4581
32.854,14.4419
33.854,14.4257
34.854,14.41
35.854,14.3934
36.854,14.3771
37.854,14.3609
38.853,14.3445
39.853,14.3305
40.853,14.3142
41.853,14.2984
42.855,14.2817
43.854,14.266
44.853,14.2503
45.853,14.236
46.853,14.2197
47.853,14.2041
48.853,14.1894
49.853,14.1737
50.853,14.1575
51.853,14.1425
52.853,14.1271
53.853,14.1111
54.853,14.0952
55.853,14.0806
56.853,14.0646
57.854,14.0495
58.854,14.0337
59.854,14.0191
60.853,14.0034
61.853,13.988
62.854,13.9725
63.854,13.9567
64.854,13.9418
65.854,13.9264
66.854,13.9113
67.854,13.8957
68.854,13.8802
69.854,13.8664
70.854,13.8514
71.854,13.8362
72.854,13.8216
73.854,13.8061
74.854,13.7914
75.853,13.7772
76.853,13.7613
77.853,13.7465
78.853,13.7306
79.853,13.7172
80.853,13.701
81.854,13.6873
82.854,13.6711
83.854,13.6566
84.854,13.6413
85.854,13.6274
86.853,13.6134
87.853,13.5981
88.853,13.5832
89.854,13.5686
90.854,13.5541
91.854,13.5396
92.854,13.5254
93.853,13.5105
94.853,13.4964
95.853,13.4814
96.853,13.4666
97.854,13.4519
98.854,13.438
99.853,13.4233
100.853,13.4095
101.853,13.3947
102.853,13.3809
103.853,13.3658
104.854,13.3517
105.854,13.3373
106.854,13.3226
107.854,13.3081
108.853,13.2931
109.853,13.2797
110.853,13.2655
111.854,13.2517
112.854,13.2372
113.854,13.2229
114.853,13.208
115.853,13.1951
116.853,13.1798
117.854,13.1655
118.854,13.151
119.854,13.136
120.854,13.1234
121.853,13.1077
122.853,13.0944
123.853,13.0804
124.854,13.0661
125.854,13.052
126.853,13.0374
127.854,13.0248
128.854,13.0105
129.853,12.9964
130.853,12.9828
131.854,12.9694
132.854,12.9549
133.854,12.9417
134.853,12.9267
135.854,12.9134
136.854,12.9004
137.853,12.8847
138.854,12.8719
139.854,12.858
140.854,12.8437
141.853,12.8311
142.853,12.817
143.854,12.8026
144.854,12.7899
145.854,12.7763
146.853,12.7622
147.853,12.7486
148.854,12.7351
149.854,12.7223
150.853,12.7081
151.853,12.6946
152.853,12.6817
153.854,12.6682
154.854,12.6557
155.854,12.6425
156.853,12.6287
157.854,12.6155
158.854,12.602
159.854,12.5887
160.853,12.5751
161.853,12.5613
162.854,12.5481
163.854,12.5352
164.853,12.5215
165.854,12.5085
166.854,12.4952
167.853,12.4827
168.854,12.4694
169.854,12.4562
170.853,12.4437
171.853,12.4294
172.854,12.4169
173.854,12.4042
174.854,12.3909
175.853,12.3775
176.853,12.3645
177.853,12.3518
178.854,12.3392
179.853,12.3257
180.853,12.3124
181.854,12.2997
182.854,12.2868
183.853,12.2735
184.853,12.2614
185.854,12.2486
186.853,12.2357
187.853,12.223
188.854,12.2099
189.854,12.1973
190.853,12.1852
191.854,12.1738
192.854,12.1598
193.854,12.1477
194.853,12.135
